Original SMILES,Reconstructed SMILES
CC1=NCCC2=C1NC1=CC=CC=C12,CC1=NCCC2=C1NC1=CC=CC=C12
CN1CCC2=C(C1)NC1=CC=CC=C12,CN1CCC2=C(C1)NC1=CC=CC=C12
CCCCCCCCC(=O)NCC1=CC=C(O)C(OC)=C1,CCCCCCCCC(=O)NCC1=CC=C(O)C(OC)=C1
NC1=NC(N)=NC(NC2CC2)=N1,NC1=NC(N)=NC(NC2CC2)=N1
CC1=CN=C2C=CC3=C(N=C(N)N3C)C2=N1,CC1=CN=C2C=CC3=C(N=C(N)N3C)C2=N1
O=C1C=CC2=CC=C(O)C=C2O1,O=C1C=CC2=CC=C(O)C=C2O1
O=C(O)C(O)C(O)C(=O)O,O=C(O)C(O)C(O)C(=O)O
CCCCCCCCCCCCCCCC(=O)OCC(O)C1OCC(O)C1O,CCCCCCCCCCCCCCCC(=O)OCC(O)C1OCC(O)C1O
CCCCCCCCCCCCCCCCCC(=O)OCC(O)C1OCC(O)C1O,CCCCCCCCCCCCCCCCCC(=O)OCC(O)C1OCC(O)C1O
OCC1OC(OC2=CC=C(O)C=C2)C(O)C(O)C1O,OCC1OC(OC2=CC=C(O)C=C2)C(O)C(O)C1O
OCC1OC(N2C=NC3=CN=CN=C32)C(O)C1O,OCC1OC(N2C=NC3=CN=CN=C32)C(O)C1O
CC(C)=CCC(=O)C1(O)C(O)=C(C(=O)CC(C)C)C(=O)C1CC=C(C)C,CC(C)=CCC(=O)C1(O)C(O)=C(C(=O)CC(C)C)C(=O)C1CC=C(C)C
CC(C)=CCCC(C)O,CC(C)=CCCC(C)O
COC1=CC(O)=C2C(=O)CC(C3=CC=C(O)C=C3)OC2=C1,COC1=CC(O)=C2C(=O)CC(C3=CC=C(O)C=C3)OC2=C1
NC1C(O)OC(CO)C(O)C1O,NC1C(O)OC(CO)C(O)C1O
O=C(C=CC1=CC=C(O)C(O)=C1)OC1CC(OC(=O)C=CC2=CC=C(O)C(O)=C2)(C(=O)O)CC(O)C1O,O=C(C=CC1=CC=C(O)C(O)=C1)OC1CC(OC(=O)C=CC2=CC=C(O)C(O)=C2)(C(=O)O)CC(O)C1O
C=C(C)C1CCC2(C(=O)O)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,C=C(C)C1CCC2(C(=O)O)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12
CC(C)=CCC1(CC=C(C)C)C(=O)C(O)=C(O)C1=O,CC(C)=CCC1(CC=C(C)C)C(=O)C(O)=C(O)C1=O
CC(C)=CCO,CC(C)=CCO
COC1=CC=C(C2=C(OC)C(=O)C3=C(O)C(OC)=C(OC)C(OC)=C3O2)C=C1OC,COC1=CC=C(C2=C(OC)C(=O)C3=C(O)C(OC)=C(OC)C(OC)=C3O2)C=C1OC
CC1(O)CCC2C(C)(C)C(O)CCC2(C)C1COC1=CC=C2C=CC(=O)OC2=C1,CC1(O)CCC2C(C)(C)C(O)CCC2(C)C1COC1=CC=C2C=CC(=O)OC2=C1
COC1=CC=C2CC3C4=C(C=C(OC)C(OC)=C4C2=C1O)CCN3C,COC1=CC=C2CC3C4=C(C=C(OC)C(OC)=C4C2=C1O)CCN3C
CC(C)CN=C(O)C=CC=CC1=CC=C2OCOC2=C1,CC(C)CN=C(O)C=CC=CC1=CC=C2OCOC2=C1
COC1=CC=C(CC2C3=CC(OC)=C(OC)C=C3CCN2C)C=C1OC,COC1=CC=C(CC2C3=CC(OC)=C(OC)C=C3CCN2C)C=C1OC
COC1=CC2=C(C=C1O)CC1NCCC3=C1C2=C(OC)C(OC)=C3,COC1=CC2=C(C=C1O)CC1NCCC3=C1C2=C(OC)C(OC)=C3
CC1=CC2=C(NC3=CC=CC=C32)C2=C1OC(C)(C)C=C2,CC1=CC2=C(NC3=CC=CC=C32)C2=C1OC(C)(C)C=C2
O=S(=O)(O)ON=C(CC1=CNC2=CC=CC=C12)SC1OC(CO)C(O)C(O)C1O,O=S(=O)(O)ON=C(CC1=CNC2=CC=CC=C12)SC1OC(CO)C(O)C(O)C1O
COC1=CC(CCC(=O)O)=CC(OC)=C1OC,COC1=CC(CCC(=O)O)=CC(OC)=C1OC
CN1CCC2=CC3=C(OCO3)C3=C2C1CC1=CC=CC=C13,CN1CCC2=CC3=C(OCO3)C3=C2C1CC1=CC=CC=C13
C=CC1CN2CCC1CC2C(O)C1=CC=NC2=CC=CC=C21,C=CC1CN2CCC1CC2C(O)C1=CC=NC2=CC=CC=C21
CCC1CN2CCC1CC2C(O)C1=CC=NC2=CC=CC=C21,CCC1CN2CCC1CC2C(O)C1=CC=NC2=CC=CC=C21
CCCC1CCCCN1,CCCC1CCCCN1
COC1=CC=C2C(=C1)NC1=C2CCN=C1C,COC1=CC=C2C(=C1)NC1=C2CCN=C1C
COC1=CC=C2C(=C1)NC1=C(C)N=CC=C21,COC1=CC=C2C(=C1)NC1=C(C)N=CC=C21
CC(C)=CCCC1(C)C=CC2=C(O1)C(C)=CC1=C2NC2=CC=CC=C21,CC(C)=CCCC1(C)C=CC2=C(O1)C(C)=CC1=C2NC2=CC=CC=C21
O=C(CCCCCCC=CC1=CC=C2OCOC2=C1)N1CCCCC1,O=C(CCCCCCC=CC1=CC=C2OCOC2=C1)N1CCCCC1
NC(CC1=CNC2=CC=CC=C12)C(=O)O,NC(CC1=CNC2=CC=CC=C12)C(=O)O
COC1=CC2=C(C3=C1C1=C(C(=O)OCC1)C(=O)O3)C1C=COC1O2,COC1=CC2=C(C3=C1C1=C(C(=O)OCC1)C(=O)O3)C1C=COC1O2
COC1=CC2=C(C3=C1C1=C(C(=O)OCC1)C(=O)O3)C1CCOC1O2,COC1=CC2=C(C3=C1C1=C(C(=O)OCC1)C(=O)O3)C1CCOC1O2
NC1=CC2=NC3=CC=CC=C3OC2=CC1=O,NC1=CC2=NC3=CC=CC=C3OC2=CC1=O
CCCCCCCCCC1=CC(=O)C2=CC=CC=C2N1C,CCCCCCCCCC1=CC(=O)C2=CC=CC=C2N1C
S=C1NC2=CC=CC=C2S1,S=C1NC2=CC=CC=C2S1
COC1=CC=C(C2=CC(=O)C3=C(OC)C(OC)=C(OC)C(OC)=C3O2)C=C1,COC1=CC=C(C2=CC(=O)C3=C(OC)C(OC)=C(OC)C(OC)=C3O2)C=C1
COC1=C(C2=CC=CC=C2)OC2=C(OC)C(O)=CC(O)=C2C1=O,COC1=C(C2=CC=CC=C2)OC2=C(OC)C(O)=CC(O)=C2C1=O
COC1=CC(C2=CC(=O)C3=C(O)C=C(OC4OC(CO)C(O)C(O)C4O)C=C3O2)=CC(OC)=C1O,COC1=CC(C2=CC(=O)C3=C(O)C=C(OC4OC(CO)C(O)C(O)C4O)C=C3O2)=CC(OC)=C1O
OCC1OC(OC2=CC(O)=CC(C=CC3=CC=C(O)C=C3)=C2)C(O)C(O)C1O,OCC1OC(OC2=CC(O)=CC(C=CC3=CC=C(O)C=C3)=C2)C(O)C(O)C1O
COC1=CC(C2OC3=CC(C4OC5=CC(O)=CC(O)=C5C(=O)C4O)=CC=C3OC2CO)=CC=C1O,COC1=CC(C2OC3=CC(C4OC5=CC(O)=CC(O)=C5C(=O)C4O)=CC=C3OC2CO)=CC=C1O
COC1=CC(CC2COC(=O)C2(O)CC2=CC=C(O)C(OC)=C2)=CC=C1O,COC1=CC(CC2COC(=O)C2(O)CC2=CC=C(O)C(OC)=C2)=CC=C1O
CC(C)=CCC1=C(O)C=C(O)C(C(=O)C=CC2=CC=C(O)C=C2)=C1O,CC(C)=CCC1=C(O)C=C(O)C(C(=O)C=CC2=CC=C(O)C=C2)=C1O
O=C1C=C(C2=CC=C(O)C(O)=C2)OC2=C(C3OC(CO)C(O)C(O)C3O)C(O)=CC(O)=C12,O=C1C=C(C2=CC=C(O)C(O)=C2)OC2=C(C3OC(CO)C(O)C(O)C3O)C(O)=CC(O)=C12
COC1=CC=C(C2=COC3=CC(O)=CC(O)=C3C2=O)C=C1O,COC1=CC=C(C2=COC3=CC(O)=CC(O)=C3C2=O)C=C1O
O=C1C(O)=C(C2=CC=C(O)C(O)=C2)OC2=CC(OC3OC(CO)C(O)C(O)C3O)=C(O)C(O)=C12,O=C1C(O)=C(C2=CC=C(O)C(O)=C2)OC2=CC(OC3OC(CO)C(O)C(O)C3O)=C(O)C(O)=C12
COC1=CC(O)=CC(CCC2=CC=CC(O)=C2)=C1,COC1=CC(O)=CC(CCC2=CC=CC(O)=C2)=C1
COC1=C2C=COC2=CC2=C1C=CC(=O)O2,COC1=C2C=COC2=CC2=C1C=CC(=O)O2
COC1=CC=C(C2=COC3=CC(OC4OC(COC(=O)CC(=O)O)C(O)C(O)C4O)=CC(O)=C3C2=O)C=C1,COC1=CC=C(C2=COC3=CC(OC4OC(COC(=O)CC(=O)O)C(O)C(O)C4O)=CC(O)=C3C2=O)C=C1
COC1=C2C=COC2=C(OCC(O)C(C)(C)O)C2=C1C=CC(=O)O2,COC1=C2C=COC2=C(OCC(O)C(C)(C)O)C2=C1C=CC(=O)O2
O=C(C=CC1=CC=C(O)C(O)=C1)OC1C(O)CC(O)(C(=O)O)CC1O,O=C(C=CC1=CC=C(O)C(O)=C1)OC1C(O)CC(O)(C(=O)O)CC1O
COC1=CC=C(C2=C(OC)C(=O)C3=C(O)C(OC)=C(OC)C=C3O2)C=C1O,COC1=CC=C(C2=C(OC)C(=O)C3=C(O)C(OC)=C(OC)C=C3O2)C=C1O
O=C(OC1CC2=C(O)C=C(O)C=C2OC1C1=CC=C(O)C(O)=C1)C1=CC(O)=C(O)C(O)=C1,O=C(OC1CC2=C(O)C=C(O)C=C2OC1C1=CC=C(O)C(O)=C1)C1=CC(O)=C(O)C(O)=C1
COC1=CC(C2=CC(=O)C3=C(O)C=C(O)C=C3O2)=CC=C1O,COC1=CC(C2=CC(=O)C3=C(O)C=C(O)C=C3O2)=CC=C1O
CC1=CC(O)=C2C(=O)C3=C(O)C=CC=C3C(=O)C2=C1,CC1=CC(O)=C2C(=O)C3=C(O)C=CC=C3C(=O)C2=C1
COC1=CC=C2C(=O)C(C3=CC=C(OC)C(OC)=C3)=COC2=C1,COC1=CC=C2C(=O)C(C3=CC=C(OC)C(OC)=C3)=COC2=C1
OCC1OC(OC2=CC3=C(O)C=C(O)C=C3O=C2C2=CC=C(O)C(O)=C2)C(O)C(O)C1O,OCC1OC(OC2=CC3=C(O)C=C(O)C=C3O=C2C2=CC=C(O)C(O)=C2)C(O)C(O)C1O
CC(=O)OCC1OC(OC2=CC=C3C(=O)C(C4=CC=C(O)C=C4)=COC3=C2)C(O)C(O)C1O,CC(=O)OCC1OC(OC2=CC=C3C(=O)C(C4=CC=C(O)C=C4)=COC3=C2)C(O)C(O)C1O
O=C1C(C2=CC=CC=C2)=COC2=CC(O)=CC(O)=C12,O=C1C(C2=CC=CC=C2)=COC2=CC(O)=CC(O)=C12
O=C(C=CC1=CC=C(O)C(O)=C1)OC1CC(O)(C(=O)O)CC(O)C1OC(=O)C=CC1=CC=C(O)C(O)=C1,O=C(C=CC1=CC=C(O)C(O)=C1)OC1CC(O)(C(=O)O)CC(O)C1OC(=O)C=CC1=CC=C(O)C(O)=C1
O=C(C=CC1=CC=C(O)C(O)=C1)OC1CC(O)(C(=O)O)CC(O)C1OC(=O)C=CC1=CC=C(O)C(O)=C1,O=C(C=CC1=CC=C(O)C(O)=C1)OC1CC(O)(C(=O)O)CC(O)C1OC(=O)C=CC1=CC=C(O)C(O)=C1
O=C1C2=CC(O)=CC=C2OC2=CC=CC(O)=C12,O=C1C2=CC(O)=CC=C2OC2=CC=CC(O)=C12
C=CC(C)(C)C1=CC2=CC(CC=C(C)C)=C(O)C=C2OC1=O,C=CC(C)(C)C1=CC2=CC(CC=C(C)C)=C(O)C=C2OC1=O
CCC1=C(C)C(O)=C(CC2=C(O)C(C)=C(CC)OC2=O)C(=O)O1,CCC1=C(C)C(O)=C(CC2=C(O)C(C)=C(CC)OC2=O)C(=O)O1
CC(C)(O)C(O)COC1=C2OC=CC2=CC2=C1OC(=O)C=C2,CC(C)(O)C(O)COC1=C2OC=CC2=CC2=C1OC(=O)C=C2
COC1=CC=C(C2CC(=O)C3=C(O)C=C(O)C=C3O2)C=C1O,COC1=CC=C(C2CC(=O)C3=C(O)C=C(O)C=C3O2)C=C1O
COC1=CC(=O)OC(CCC2=CC=C(OC)C(OC)=C2)C1,COC1=CC(=O)OC(CCC2=CC=C(OC)C(OC)=C2)C1
CC(=O)C1=CC=C(O)C(CC=C(C)C)=C1,CC(=O)C1=CC=C(O)C(CC=C(C)C)=C1
O=C1C=CC(=O)C2=C(O)C=CC=C12,O=C1C=CC(=O)C2=C(O)C=CC=C12
O=C1C(OC2OC(CO)C(O)C(O)C2O)=C(C2=CC=C(O)C(O)=C2)OC2=CC(O)=CC(O)=C12,O=C1C(OC2OC(CO)C(O)C(O)C2O)=C(C2=CC=C(O)C(O)=C2)OC2=CC(O)=CC(O)=C12
CC1=C(O)C(=O)C=CO1,CC1=C(O)C(=O)C=CO1
COC1=CC(C2=OC3=CC(O)=CC(O)=C3C=C2OC2OC(CO)C(O)C(O)C2O)=CC(OC)=C1O,COC1=CC(C2=OC3=CC(O)=CC(O)=C3C=C2OC2OC(CO)C(O)C(O)C2O)=CC(OC)=C1O
COC1=CC(=O)OC(CCC2=CC=C3OCOC3=C2)C1,COC1=CC(=O)OC(CCC2=CC=C3OCOC3=C2)C1
O=C1C(O)=C(C2=CC=C(O)C=C2O)OC2=CC(O)=CC(O)=C12,O=C1C(O)=C(C2=CC=C(O)C=C2O)OC2=CC(O)=CC(O)=C12
O=C(O)C(O)C(O)(CC1=CC=C(O)C=C1)C(=O)O,O=C(O)C(O)C(O)(CC1=CC=C(O)C=C1)C(=O)O
COC1=CC2=C(C=C1OC)OC(=O)C=C2,COC1=CC2=C(C=C1OC)OC(=O)C=C2
O=C1C=CC2=CC(O)=C(O)C=C2O1,O=C1C=CC2=CC(O)=C(O)C=C2O1
O=C1C=CC2=CC(OC3OC(CO)C(O)C(O)C3O)=C(O)C=C2O1,O=C1C=CC2=CC(OC3OC(CO)C(O)C(O)C3O)=C(O)C=C2O1
OC1=CC=C(C2OC3=CC(O)=CC(O)=C3CC2O)C=C1,OC1=CC=C(C2OC3=CC(O)=CC(O)=C3CC2O)C=C1
C=CCC1=CC(OC)=C(OC(C)C(O)C2=CC(OC)=C(OC)C(OC)=C2)C(OC)=C1,C=CCC1=CC(OC)=C(OC(C)C(O)C2=CC(OC)=C(OC)C(OC)=C2)C(OC)=C1
O=C1C2=CC=CC(O)=C2C(=O)C2=C(O)C=C(CO)C=C12,O=C1C2=CC=CC(O)=C2C(=O)C2=C(O)C=C(CO)C=C12
O=C1C2=C(O)C=C(O)C=C2OC(C2=CC(O)=C(O)C(O)=C2)C1O,O=C1C2=C(O)C=C(O)C=C2OC(C2=CC(O)=C(O)C(O)=C2)C1O
O=C1C2=C(O)C=C(O)C=C2OC(C2=CC=C(O)C=C2)C1O,O=C1C2=C(O)C=C(O)C=C2OC(C2=CC=C(O)C=C2)C1O
COC1=CC2=C(C(=O)C(CC=C(C)C)=C(C3=CC=C(O)C=C3O)O2)C(O)=C1C=CC(C)C,COC1=CC2=C(C(=O)C(CC=C(C)C)=C(C3=CC=C(O)C=C3O)O2)C(O)=C1C=CC(C)C
O=C(CCC1=CC=C(O)C(O)=C1)C1=C(O)C=C(O)C(C2OC(CO)C(O)C(O)C2O)=C1O,O=C(CCC1=CC=C(O)C(O)=C1)C1=C(O)C=C(O)C(C2OC(CO)C(O)C(O)C2O)=C1O
C=C(C)C(O)CC1=C(OC)C=CC2=C1OC(=O)C=C2,C=C(C)C(O)CC1=C(OC)C=CC2=C1OC(=O)C=C2
O=C1C(OC2OC(CO)C(O)C2O)=C(C2=CC=C(O)C(O)=C2)OC2=CC(O)=CC(O)=C12,O=C1C(OC2OC(CO)C(O)C2O)=C(C2=CC=C(O)C(O)=C2)OC2=CC(O)=CC(O)=C12
COC1=CC=C(C2=COC3=CC(OC4OC(CO)C(O)C(O)C4O)=C(OC)C=C3C2=O)C=C1,COC1=CC=C(C2=COC3=CC(OC4OC(CO)C(O)C(O)C4O)=C(OC)C=C3C2=O)C=C1
CCC=CCC=CCC=CCCCCCCCC(=O)O,CCC=CCC=CCC=CCCCCCCCC(=O)O
C=CCCCCCCCCCO,C=CCCCCCCCCCO
C=CCCCCCCCCCCCC(O)CC(O)COC(C)=O,C=CCCCCCCCCCCCC(O)CC(O)COC(C)=O
C=CCCCCCCCCCCCC(O)CC(CO)OC(C)=O,C=CCCCCCCCCCCCC(O)CC(CO)OC(C)=O
C=CCCCCCCCCCCCC(CC(O)CO)OC(C)=O,C=CCCCCCCCCCCCC(CC(O)CO)OC(C)=O
C#CCCCCCCCCCCCC(O)CC(O)COC(C)=O,C#CCCCCCCCCCCCC(O)CC(O)COC(C)=O
CC(C)CCCCCCCCCCCCC(=O)O,CC(C)CCCCCCCCCCCCC(=O)O
CCCCCC1=CC=CC(=O)O1,CCCCCC1=CC=CC(=O)O1
O=C(O)CCSCCC(=O)O,O=C(O)CCSCCC(=O)O
CC1(C)CC(=O)CC(C)(C)N1,CC1(C)CC(=O)CC(C)(C)N1
CC1=CC(=O)CC(C)(C)C1,CC1=CC(=O)CC(C)(C)C1
C=CC(=O)NC(C)(C)CS(=O)(=O)O,C=CC(=O)NC(C)(C)CS(=O)(=O)O
CCOCCO,CCOCCO
CCOS(=O)(=O)O,CCOS(=O)(=O)O
CC(=O)OCC1=CC=CC=C1,CC(=O)OCC1=CC=CC=C1
CCCCN,CCCCN
CCCCOCCO,CCCCOCCO
O=S(=O)(O)NC1CCCCC1,O=S(=O)(O)NC1CCCCC1
NC1CCCCC1,NC1CCCCC1
CCCCCCCCCC=CC(=O)CCC1=CC=C(O)C(OC)=C1,CCCCCCCCCC=CC(=O)CCC1=CC=C(O)C(OC)=C1
CCCCCCCC=CC(=O)CCC1=CC=C(O)C(OC)=C1,CCCCCCCC=CC(=O)CCC1=CC=C(O)C(OC)=C1
CCCCCCCO,CCCCCCCO
CCCC=CC=O,CCCC=CC=O
CC(=O)CC(C)(C)O,CC(=O)CC(C)(C)O
CCCCCCC(O)CC(=O)O,CCCCCCC(O)CC(=O)O
O=C(O)CC(O)C(=O)O,O=C(O)CC(O)C(=O)O
O=C(O)C(=O)C(=O)O,O=C(O)C(=O)C(=O)O
COC(C)=O,COC(C)=O
OCC1OC(OC2(CCl)OC(CCl)C(O)C2O)C(O)C(O)C1Cl,OCC1OC(OC2(CCl)OC(CCl)C(O)C2O)C(O)C(O)C1Cl
CCCCCC1=C(C)CCC1=O,CCCCCC1=C(C)CCC1=O
C1COCCN1,C1COCCN1
O=C(O)COC1=CC=CC=C1,O=C(O)COC1=CC=CC=C1
CC(=O)C=CC1=CC=CC=C1,CC(=O)C=CC1=CC=CC=C1
O=NN1CCCC1,O=NN1CCCC1
CC(N)=O,CC(N)=O
C=CC(=O)O,C=CC(=O)O
CC(N)CC(=O)O,CC(N)CC(=O)O
CC(C)CCN,CC(C)CCN
CCCCCCCCC1CCC(=O)O1,CCCCCCCCC1CCC(=O)O1
CCCCOC(=O)CC(C)OC1OC(CO)C(O)C(O)C1O,CCCCOC(=O)CC(C)OC1OC(CO)C(O)C(O)C1O
O=C1C(C2=CC=C(O)C=C2)=COC2=CC(O)=C(O)C=C12,O=C1C(C2=CC=C(O)C=C2)=COC2=CC(O)=C(O)C=C12
COC1=CC=C(C2=COC3=CC(O)=CC=C3C2=O)C(O)=C1,COC1=CC=C(C2=COC3=CC(O)=CC=C3C2=O)C(O)=C1
CCC1=C(O)C(=O)C=CO1,CCC1=C(O)C(=O)C=CO1
CC1CCCC(=O)CCCC=CC2=CC(O)=CC(O)=C2C(=O)O1,CC1CCCC(=O)CCCC=CC2=CC(O)=CC(O)=C2C(=O)O1
CCC1=CC=CC(CC)=C1N(COC)C(=O)CCl,CCC1=CC=CC(CC)=C1N(COC)C(=O)CCl
COC(=O)NC1=NC2=CC=CC=C2N1,COC(=O)NC1=NC2=CC=CC=C2N1
CN=C(O)OC1=CC=CC2=C1OC(C)(C)C2,CN=C(O)OC1=CC=CC2=C1OC(C)(C)C2
O=C(NC(=O)C1=C(F)C=CC=C1F)NC1=CC=C(Cl)C=C1,O=C(NC(=O)C1=C(F)C=CC=C1F)NC1=CC=C(Cl)C=C1
CC(C)OC(=O)C(C(=O)OC(C)C)=C1SCCS1,CC(C)OC(=O)C(C(=O)OC(C)C)=C1SCCS1
CCSCC1=CC=CC=C1OC(O)=NC,CCSCC1=CC=CC=C1OC(O)=NC
CCOP(=O)(NC(C)C)OC1=CC=C(SC)C(C)=C1,CCOP(=O)(NC(C)C)OC1=CC=C(SC)C(C)=C1
COP(=O)(OC)OC1=C(Cl)C2C=CCC12,COP(=O)(OC)OC1=C(Cl)C2C=CCC12
C=CCOC(CN1C=CN=C1)C1=CC=C(Cl)C=C1Cl,C=CCOC(CN1C=CN=C1)C1=CC=C(Cl)C=C1Cl
CC(C)NC(=O)N1CC(=O)N(C2=CC(Cl)=CC(Cl)=C2)C1=O,CC(C)NC(=O)N1CC(=O)N(C2=CC(Cl)=CC(Cl)=C2)C1=O
CN=C(O)OC1=CC=CC=C1C(C)C,CN=C(O)OC1=CC=CC=C1C(C)C
CC(C)(C)C1=CC(C=C(C#N)C#N)=CC(C(C)(C)C)=C1O,CC(C)(C)C1=CC(C=C(C#N)C#N)=CC(C(C)(C)C)=C1O
CCOC(=O)N(C)C(=O)CSP(=S)(OCC)OCC,CCOC(=O)N(C)C(=O)CSP(=S)(OCC)OCC
COCC(=O)N(C1=C(C)C=CC=C1C)C(C)C(=O)OC,COCC(=O)N(C1=C(C)C=CC=C1C)C(C)C(=O)OC
CN=C(O)ON=C(C)SC,CN=C(O)ON=C(C)SC
CNC(=O)C=C(C)OP(=O)(OC)OC,CNC(=O)C=C(C)OP(=O)(OC)OC
COC(=O)NC1=NC2=CC(S(=O)C3=CC=CC=C3)=CC=C2N1,COC(=O)NC1=NC2=CC(S(=O)C3=CC=CC=C3)=CC=C2N1
O=C1C2=CC=CC=C2OC(C2=CC=CC=C2)=C1O,O=C1C2=CC=CC=C2OC(C2=CC=CC=C2)=C1O
CC(C)C1=CC=C(CO)C=C1,CC(C)C1=CC=C(CO)C=C1
O=N(O)C1=CC=C([As](=O)(O)O)C=C1,O=N(O)C1=CC=C([As](=O)(O)O)C=C1
CCC1=CN=CC=N1,CCC1=CN=CC=N1
C=CCC1=CC=C(OC)C(OC)=C1,C=CCC1=CC=C(OC)C(OC)=C1
CC(=O)C1=C(C)C(N(=O)O)=C(C(C)(C)C)C(N(=O)O)=C1C,CC(=O)C1=C(C)C(N(=O)O)=C(C(C)(C)C)C(N(=O)O)=C1C
CC(=O)C1=CC(C(C)(C)C)=CC2=C1CCC2(C)C,CC(=O)C1=CC(C(C)(C)C)=CC2=C1CCC2(C)C
O=C(C=CCCC1=CC=CC=C1)CCC1=CC=CC=C1,O=C(C=CCCC1=CC=CC=C1)CCC1=CC=CC=C1
C=CCSCC(NC(=O)CCC(N)C(=O)O)C(=O)O,C=CCSCC(NC(=O)CCC(N)C(=O)O)C(=O)O
CC(=O)OC1CCC2(C)C(COC3=CC=C4C=CC(=O)OC4=C3)C(C)(O)CCC2C1(C)C,CC(=O)OC1CCC2(C)C(COC3=CC=C4C=CC(=O)OC4=C3)C(C)(O)CCC2C1(C)C
CSCC(NC(=O)CCC(N)C(=O)O)C(=O)O,CSCC(NC(=O)CCC(N)C(=O)O)C(=O)O
COC1=CC(CO)=CC=C1O,COC1=CC(CO)=CC=C1O
O=C(OC1=CC=CC=C1)C1=CC=CC=C1O,O=C(OC1=CC=CC=C1)C1=CC=CC=C1O
CNCCC1=CC=C(O)C(O)=C1,CNCCC1=CC=C(O)C(O)=C1
CC1CCC2C(C)C3C(CC4C5CCC6CC(O)CCC6(C)C5CCC43C)N2C1,CC1CCC2C(C)C3C(CC4C5CCC6CC(O)CCC6(C)C5CCC43C)N2C1
O=C(C1=CC=CC=C1)C(O)C1=CC=CC=C1,O=C(C1=CC=CC=C1)C(O)C1=CC=CC=C1
O=C(CCC1=CC=CC=C1)C1=CC=CC=C1,O=C(CCC1=CC=CC=C1)C1=CC=CC=C1
O=C(C1=CC=CC=C1)C1=CC=CC=C1,O=C(C1=CC=CC=C1)C1=CC=CC=C1
CC(=O)NC(CC1=CNC=N1)C(=O)O,CC(=O)NC(CC1=CNC=N1)C(=O)O
C=CCC1=CC=C(OC(=O)C2=CC=CC=C2)C(OC)=C1,C=CCC1=CC=C(OC(=O)C2=CC=CC=C2)C(OC)=C1
CC(C)(C)C1=CC=C(O)C=C1,CC(C)(C)C1=CC=C(O)C=C1
OC1=CC=C(Br)C=C1Br,OC1=CC=C(Br)C=C1Br
CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1
COC1=CC=C(C=O)C=C1OC,COC1=CC=C(C=O)C=C1OC
COC1=CC=CC=C1OC,COC1=CC=CC=C1OC
OCC1(O)COC(O)(CO)CO1,OCC1(O)COC(O)(CO)CO1
CCCCCCN,CCCCCCN
CCCCCCCCCCCC(=O)N(CCO)CCO,CCCCCCCCCCCC(=O)N(CCO)CCO
CC1=CC=C2OC(=O)C=CC2=C1,CC1=CC=C2OC(=O)C=CC2=C1
CC(=O)C1=CC=C2C=CC=CC2=C1,CC(=O)C1=CC=C2C=CC=CC2=C1
C=C(C)C1CC=C(C)CC1,C=C(C)C1CC=C(C)CC1
CCCC1=CC=CC=N1,CCCC1=CC=CC=N1
OCCN(CCO)CCO,OCCN(CCO)CCO
CCCN(CCC)CCC,CCCN(CCC)CCC
CC1=C(C(N)=O)C=C(N(=O)O)C=C1N(=O)O,CC1=C(C(N)=O)C=C(N(=O)O)C=C1N(=O)O
CCC(C)C1=CC(N(=O)O)=CC(N(=O)O)=C1O,CCC(C)C1=CC(N(=O)O)=CC(N(=O)O)=C1O
C1=CC=C(NC2=CC=CC=C2)C=C1,C1=CC=C(NC2=CC=CC=C2)C=C1
CCCCCCC1=CC=C(O)C=C1O,CCCCCCC1=CC=C(O)C=C1O
COC1=CC=C(C(C)=O)C=C1,COC1=CC=C(C(C)=O)C=C1
COC(=O)C1=CC=C(O)C=C1,COC(=O)C1=CC=C(O)C=C1
CCOC(=O)C1=CC=C(O)C=C1,CCOC(=O)C1=CC=C(O)C=C1
CCCOC(=O)C1=CC=C(O)C=C1,CCCOC(=O)C1=CC=C(O)C=C1
CCCCOC(=O)C1=CC=C(O)C=C1,CCCCOC(=O)C1=CC=C(O)C=C1
OC1=CC=CC=C1C1=CC=CC=C1,OC1=CC=CC=C1C1=CC=CC=C1
COC1=CC=C(C(=O)C=CC2=CC=CC=C2)C=C1,COC1=CC=C(C(=O)C=CC2=CC=CC=C2)C=C1
COC1=CC=CC=C1C(=O)O,COC1=CC=CC=C1C(=O)O
COC(=O)C1=CC=CC=C1OC,COC(=O)C1=CC=CC=C1OC
COC1=CC=CC(C(=O)O)=C1,COC1=CC=CC(C(=O)O)=C1
CC(=O)C1=CC=C(C)C=C1,CC(=O)C1=CC=C(C)C=C1
CNC1=CC=CC=C1C(=O)O,CNC1=CC=CC=C1C(=O)O
O=CC1=CC=C2OCOC2=C1,O=CC1=CC=C2OCOC2=C1
COC1=CC(C=CC(=O)O)=CC(OC)=C1O,COC1=CC(C=CC(=O)O)=CC(OC)=C1O
CCCC1=CC=CC=C1O,CCCC1=CC=CC=C1O
NCC(=O)C1=CC=CC=C1,NCC(=O)C1=CC=CC=C1
CCN(CC)C(=O)CC1=CC=CC=C1,CCN(CC)C(=O)CC1=CC=CC=C1
